"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F1","Basal","1","1","1","1","1"
"F2","LumA","2","2","2","2","2"
"F3","LumB","2","2","3","3","3"
"F4","LumA","3","3","4","4","4"
"F5","Normal","3","4","5","5","5"
"F6","Basal","1","1","1","1","1"
"F7","Normal","3","4","5","5","5"
"F8","Normal","3","4","5","5","5"
"F9","Her2","3","3","4","6","6"
"F10","LumA","3","3","4","4","4"
"F11","LumA","3","4","5","5","5"
"F12","LumB","2","2","3","3","3"
"F13","LumA","2","2","3","3","7"
"F14","LumA","2","2","2","2","2"
"F15","LumA","3","4","5","5","5"
"F16","Basal","1","1","1","1","1"
"F17","LumA","3","4","5","5","5"
"F18","LumA","3","4","5","5","5"
"F19","LumA","2","2","2","2","2"
"F20","LumA","2","2","2","2","2"
"F21","Her2","3","3","4","4","4"
"F22","LumA","2","2","2","2","2"
"F23","LumB","2","2","3","3","3"
"F24","LumA","2","2","2","2","2"
"F25","LumA","2","2","2","2","2"
"F26","LumA","3","4","5","5","5"
"F27","Her2","3","3","4","6","6"
"F28","Her2","3","3","4","6","6"
"F29","Her2","3","3","4","6","6"
"F30","LumA","2","2","2","2","2"
"F31","LumA","3","3","4","4","4"
"F32","LumA","2","2","2","2","2"
"F33","LumA","2","2","2","2","2"
"F34","LumB","2","2","2","2","2"
"F35","LumB","2","2","3","3","3"
"F36","LumB","2","2","3","3","3"
"F37","LumA","3","3","4","4","4"
"F38","LumA","2","2","2","2","2"
"F39","LumB","2","2","3","3","3"
"F40","Normal","2","2","2","2","2"
"F41","LumA","2","2","2","2","2"
"F42","LumA","2","2","2","2","2"
"F43","Her2","3","3","4","6","6"
"F44","LumA","2","2","2","2","2"
"F45","Her2","2","2","2","2","2"
"F46","LumA","2","2","2","2","2"
"F47","LumA","2","2","2","2","2"
"F48","Basal","1","1","1","1","1"
"F49","Her2","3","3","4","6","6"
"F50","LumA","2","2","2","2","2"
"F51","Normal","3","4","5","5","5"
"F52","LumA","2","2","2","2","2"
"F53","LumA","3","4","5","5","5"
"F54","Her2","3","3","4","6","6"
"F55","LumA","2","2","2","2","2"
"F56","LumA","3","4","5","5","5"
"F57","LumB","2","2","3","3","7"
"F58","Her2","3","3","4","4","4"
"F59","Her2","3","3","4","6","6"
"F60","LumA","2","2","2","2","2"
"F61","LumA","3","4","5","5","5"
"F62","LumB","2","2","2","2","2"
"F63","Her2","2","2","2","2","2"
"F64","LumA","2","2","3","3","7"
"F65","LumA","2","2","2","2","2"
"F66","LumB","2","2","2","2","2"
"F67","Her2","3","3","4","6","6"
"F68","LumB","2","2","3","3","3"
"F69","LumB","3","3","4","4","4"
"F70","Her2","3","3","4","6","6"
"F71","LumA","3","4","5","5","5"
"F72","LumB","2","2","2","2","2"
"F73","Basal","1","1","1","1","1"
"F74","LumA","2","2","2","2","2"
"F75","LumB","3","3","4","4","4"
"F76","LumA","2","2","3","3","7"
"F77","LumA","3","4","5","5","5"
"F78","LumA","3","4","5","5","5"
"F79","LumA","2","2","3","3","7"
"F80","Basal","1","1","1","1","1"
"F81","LumA","2","2","3","3","7"
"F82","Her2","3","3","4","6","6"
"F83","LumA","2","2","2","2","2"
"F84","LumA","2","2","3","3","7"
"F85","LumA","2","2","2","2","2"
"F86","LumB","2","2","3","3","7"
"F87","LumA","2","2","2","2","2"
"F88","LumA","2","2","2","2","2"
"F89","LumA","3","4","5","5","5"
"F90","LumA","3","4","5","5","5"
"F91","LumB","2","2","3","3","3"
"F92","LumA","2","2","2","2","2"
"F93","LumA","2","2","2","2","2"
"F94","LumB","2","2","3","3","3"
"F95","LumB","2","2","3","3","7"
"F96","Basal","1","1","1","1","1"
"F97","LumA","3","4","5","5","5"
"F98","Her2","3","3","4","4","4"
"F99","LumA","2","2","3","3","7"
"F100","LumA","3","4","5","5","5"
"F101","LumB","3","3","4","4","4"
"F102","LumB","2","2","3","3","3"
"F103","LumA","2","2","3","3","7"
"F104","LumB","3","4","5","5","5"
