"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F1","Basal","2","3","2","2","4"
"F2","LumA","1","2","3","1","7"
"F3","LumB","3","4","4","5","1"
"F4","LumA","1","2","5","5","3"
"F5","Normal","1","2","5","3","6"
"F6","Basal","2","3","2","2","4"
"F7","Normal","1","2","5","3","6"
"F8","Normal","1","2","5","3","6"
"F9","Her2","2","1","1","4","5"
"F10","LumA","1","1","1","5","3"
"F11","LumA","1","2","5","3","6"
"F12","LumB","3","4","4","6","1"
"F13","LumA","3","4","3","1","7"
"F14","LumA","3","4","3","1","7"
"F15","LumA","1","2","5","3","6"
"F16","Basal","2","3","2","2","4"
"F17","LumA","1","2","3","1","7"
"F18","LumA","1","2","5","3","6"
"F19","LumA","1","2","3","1","7"
"F20","LumA","1","2","3","1","7"
"F21","Her2","3","1","1","5","3"
"F22","LumA","1","2","3","1","7"
"F23","LumB","3","4","4","5","1"
"F24","LumA","1","2","3","1","7"
"F25","LumA","3","4","3","1","7"
"F26","LumA","1","2","5","3","6"
"F27","Her2","2","1","1","4","5"
"F28","Her2","2","1","1","4","5"
"F29","Her2","2","1","1","4","5"
"F30","LumA","1","2","3","1","7"
"F31","LumA","1","2","5","3","6"
"F32","LumA","3","4","3","1","7"
"F33","LumA","1","2","3","5","3"
"F34","LumB","3","4","3","5","3"
"F35","LumB","3","4","4","5","1"
"F36","LumB","3","4","4","6","1"
"F37","LumA","1","2","5","3","6"
"F38","LumA","3","4","3","1","7"
"F39","LumB","3","4","4","5","3"
"F40","Normal","1","2","3","1","7"
"F41","LumA","1","2","3","1","7"
"F42","LumA","1","2","3","1","7"
"F43","Her2","2","1","1","4","5"
"F44","LumA","1","2","3","1","7"
"F45","Her2","1","1","1","1","7"
"F46","LumA","3","4","4","6","1"
"F47","LumA","3","4","3","1","7"
"F48","Basal","2","3","2","2","4"
"F49","Her2","2","1","1","4","5"
"F50","LumA","1","2","3","1","7"
"F51","Normal","1","2","5","3","6"
"F52","LumA","1","2","3","1","7"
"F53","LumA","1","2","5","3","6"
"F54","Her2","2","1","1","4","5"
"F55","LumA","1","2","3","1","7"
"F56","LumA","1","2","5","3","6"
"F57","LumB","3","4","4","6","2"
"F58","Her2","1","1","1","5","3"
"F59","Her2","2","1","1","4","5"
"F60","LumA","1","2","3","1","7"
"F61","LumA","1","2","5","3","6"
"F62","LumB","3","4","3","1","7"
"F63","Her2","1","1","3","1","7"
"F64","LumA","1","2","3","1","7"
"F65","LumA","1","2","3","1","7"
"F66","LumB","3","4","3","5","7"
"F67","Her2","2","1","1","4","5"
"F68","LumB","3","4","4","5","1"
"F69","LumB","1","1","1","5","3"
"F70","Her2","1","1","1","4","5"
"F71","LumA","1","2","5","3","6"
"F72","LumB","3","4","3","1","7"
"F73","Basal","2","3","2","2","4"
"F74","LumA","3","4","3","1","7"
"F75","LumB","2","1","1","5","3"
"F76","LumA","3","4","4","6","2"
"F77","LumA","1","2","5","3","6"
"F78","LumA","1","2","5","3","6"
"F79","LumA","3","4","4","6","2"
"F80","Basal","2","3","2","2","4"
"F81","LumA","3","4","4","6","2"
"F82","Her2","2","1","1","4","5"
"F83","LumA","1","2","3","1","7"
"F84","LumA","3","4","3","1","2"
"F85","LumA","1","2","3","1","7"
"F86","LumB","3","4","4","6","2"
"F87","LumA","1","2","3","1","7"
"F88","LumA","1","2","3","1","7"
"F89","LumA","1","2","5","3","6"
"F90","LumA","1","2","5","3","6"
"F91","LumB","3","4","4","5","1"
"F92","LumA","1","2","3","1","7"
"F93","LumA","3","4","3","1","7"
"F94","LumB","3","4","4","6","1"
"F95","LumB","3","4","4","6","2"
"F96","Basal","2","3","2","2","4"
"F97","LumA","1","2","5","3","6"
"F98","Her2","2","1","1","4","3"
"F99","LumA","1","2","3","1","7"
"F100","LumA","1","2","5","3","6"
"F101","LumB","2","1","1","5","3"
"F102","LumB","3","4","4","5","1"
"F103","LumA","3","4","4","6","2"
"F104","LumB","1","2","3","1","7"
"F105","LumA","1","2","3","1","7"
"F106","LumA","1","2","5","3","6"
"F107","Basal","2","3","2","2","4"
"F108","LumA","1","2","3","1","7"
"F109","LumB","3","4","3","1","7"
"F110","LumA","1","2","3","1","7"
"F111","LumA","1","2","5","3","7"
"F112","LumB","3","4","4","6","1"
"F113","LumA","1","2","3","1","7"
"F114","LumA","1","2","5","3","6"
"F115","Her2","2","1","1","4","5"
"F116","LumB","3","4","3","1","7"
"F117","LumA","1","2","3","1","7"
"F118","LumA","3","4","3","1","7"
"F119","LumB","3","4","4","6","2"
"F120","LumA","1","2","5","3","6"
"F121","LumA","3","4","3","1","7"
"F122","LumA","1","2","3","1","7"
"F123","LumA","1","2","3","1","7"
"F124","LumA","3","4","3","1","7"
"F125","LumA","1","2","3","1","7"
"F126","LumA","1","2","5","3","6"
"F127","Her2","1","1","1","4","3"
"F128","LumA","1","2","3","1","7"
"F129","LumA","1","2","3","1","7"
"F130","LumA","1","2","5","1","7"
"F131","LumA","1","2","3","1","7"
"F132","LumA","1","2","5","3","6"
"F133","LumA","1","2","3","1","7"
"F134","Her2","2","1","1","4","5"
"F135","LumA","3","4","3","1","7"
"F136","LumA","1","2","5","3","6"
"F137","Her2","2","1","1","4","5"
"F138","LumB","3","4","4","6","1"
"F139","LumA","3","4","4","6","1"
"F140","LumA","3","4","3","1","7"
"F141","LumA","1","2","5","3","7"
"F142","Basal","2","3","2","2","4"
"F143","LumA","1","2","5","3","6"
"F144","Basal","2","3","2","2","4"
"F145","Her2","2","1","1","4","5"
"F146","LumA","1","2","3","1","7"
"F147","LumB","1","1","1","5","3"
"F148","LumA","1","2","5","3","6"
"F149","LumA","1","2","5","3","6"
"F150","Normal","1","2","5","3","6"
"F151","LumA","1","2","3","1","7"
"F152","LumA","1","2","3","1","7"
"F153","LumB","3","4","4","6","2"
"F154","Basal","2","3","2","2","4"
"F155","LumA","1","2","5","3","6"
"F156","LumB","1","1","3","1","7"
"F157","LumA","1","2","3","1","7"
"F158","Basal","2","3","2","2","4"
"F159","LumA","3","4","3","1","7"
"F160","LumB","3","4","3","1","7"
"F161","LumA","1","2","5","3","6"
"F162","LumA","3","4","4","6","2"
"F163","LumA","3","4","4","6","1"
"F164","LumA","1","2","5","3","6"
"F165","LumA","1","2","3","1","7"
"F166","Basal","2","3","2","2","4"
"F167","LumA","1","2","5","3","6"
"F168","LumA","1","2","5","3","6"
"F169","LumA","1","2","5","3","6"
"F170","LumA","3","4","4","6","1"
"F171","LumA","1","2","5","3","6"
"F172","LumA","1","2","5","3","6"
"F173","Basal","2","3","2","2","4"
"F174","LumB","3","4","4","6","2"
"F175","LumA","3","4","3","1","7"
"F176","LumA","1","2","3","1","7"
"F177","Her2","3","1","3","1","7"
"F178","LumA","1","2","5","3","7"
"F179","LumA","1","2","5","1","7"
"F180","LumA","1","2","5","3","6"
"F181","LumA","3","1","1","5","3"
"F182","LumB","3","1","1","5","3"
"F183","LumA","3","4","3","1","7"
"F184","LumA","1","2","5","3","6"
"F185","LumA","1","2","3","1","7"
"F186","LumA","3","4","3","1","7"
"F187","LumA","1","2","3","1","7"
"F188","LumA","1","2","3","1","7"
"F189","LumB","3","4","4","6","1"
"F190","LumA","1","2","3","1","7"
"F191","LumB","3","4","4","6","2"
"F192","LumA","1","2","3","1","7"
"F193","LumA","1","2","3","1","7"
"F194","LumB","1","1","1","5","3"
"F195","LumA","1","2","5","3","6"
"F196","LumA","1","2","5","3","6"
"F197","LumA","1","2","5","3","6"
"F198","LumA","1","2","5","3","6"
"F199","LumB","1","1","3","1","7"
"F200","LumA","3","4","3","1","7"
"F201","LumA","1","2","5","3","6"
"F202","LumA","1","2","5","3","6"
"F203","Normal","1","2","5","3","6"
"F204","LumB","3","4","3","1","7"
"F205","Basal","2","3","2","2","4"
"F206","LumA","1","2","5","3","6"
"F207","LumA","1","2","3","1","7"
"F208","LumA","1","2","3","1","7"
